SYMBOL,SERIES,QTY_TRADED,DELIV_QTY,DELIV_PCT
ABB,EQ,146857.0,83793.0,57.06
ABBOTINDIA,EQ,11671.0,8485.0,72.7
ABCAPITAL,EQ,14315497.0,5985595.0,41.81
ABCOTS,EQ,22750.0,3194.0,14.04
ABDL,EQ,1399945.0,489410.0,34.96
ABFRL,EQ,2666702.0,1495815.0,56.09
ABGSEC,EQ,28.0,25.0,89.29
ABHAPOWER,ST,1600.0,1600.0,100.0
ABINFRA,EQ,88908.0,68181.0,76.69
ABLBL,EQ,599044.0,371037.0,61.94
ABREL,EQ,244144.0,119333.0,48.88
ABSLAMC,EQ,241962.0,146741.0,60.65
ABSLBANETF,EQ,10061.0,7119.0,70.76
ABSLLIQUID,EQ,1367.0,948.0,69.35
ABSLNN50ET,EQ,11039.0,7173.0,64.98
ABSLPSE,EQ,253010.0,204480.0,80.82
ABSMARINE,SM,17000.0,14500.0,85.29
ACC,EQ,1153977.0,417033.0,36.14
ACCELYA,EQ,15782.0,6179.0,39.15
ACCENTMIC,ST,17500.0,15000.0,85.71
ACCPL,SM,18000.0,18000.0,100.0
ACCURACY,EQ,104999.0,71024.0,67.64
ACE,EQ,114528.0,62697.0,54.74
ACEINTEG,EQ,1400.0,1318.0,94.14
ACI,EQ,226411.0,127875.0,56.48
ACLGATI,EQ,2332810.0,891632.0,38.22
ACMESOLAR,EQ,639322.0,383576.0,60.0
ACTIVEINFR,SM,1200.0,1200.0,100.0
ACUTAAS,EQ,421188.0,187279.0,44.46
ADANIENSOL,EQ,2484075.0,733708.0,29.54
ADANIENT,EQ,848642.0,277532.0,32.7
ADANIGREEN,EQ,5725034.0,1254041.0,21.9
ADANIPORTS,EQ,1141853.0,546183.0,47.83
ADANIPOWER,EQ,44708746.0,17068436.0,38.18
ADFFOODS,EQ,60992.0,37711.0,61.83
ADL,EQ,1063.0,724.0,68.11
ADOR,EQ,76163.0,47010.0,61.72
ADROITINFO,EQ,30723.0,25228.0,82.11
ADSL,EQ,105398.0,52517.0,49.83
ADVANCE,EQ,510014.0,262604.0,51.49
ADVANIHOTR,EQ,18938.0,13691.0,72.29
ADVENZYMES,EQ,89742.0,50975.0,56.8
AEGISLOG,EQ,538925.0,346057.0,64.21
AEGISVOPAK,EQ,285445.0,172817.0,60.54
AEROENTER,EQ,566533.0,149791.0,26.44
AEROFLEX,EQ,1895222.0,431667.0,22.78
